doc_id,source_id,paragraph_id,subject,date,model,local_id,claim_text,speaker,target,stance,confidence,node_key
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p0,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,claim_0,The Boun Oum government will probably be viewed by the Communist bloc as illegal.,unknown,Boun Oum government,neutral,0.7,2000168_CIA-RDP79T00975A005500040001-6::p0::claim_0
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p0,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,claim_1,The resignation of Turkey's cabinet appears to have been pro-forma.,unknown,Turkey's cabinet,neutral,0.7,2000168_CIA-RDP79T00975A005500040001-6::p0::claim_1
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p0,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,claim_2,The conspiracy includes some of the high-ranking unit commanders in the Syrian Army.,unknown,Syrian dissidents,neutral,0.7,2000168_CIA-RDP79T00975A005500040001-6::p0::claim_2
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p1,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,claim_0,Pakistan's government hopes press comments will remind the US to increase aid to India at Pakistan's expense.,Unknown,United States,oppose,0.7,2000168_CIA-RDP79T00975A005500040001-6::p1::claim_0
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p1,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,claim_1,Ne Win agrees that the situation in Burma has reached serious proportions.,General Ne Win,Burma,neutral,0.7,2000168_CIA-RDP79T00975A005500040001-6::p1::claim_1
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p1,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,claim_2,Louis Joxe commented that serious trouble lies ahead in Algeria.,Louis Joxe,Algeria,oppose,0.7,2000168_CIA-RDP79T00975A005500040001-6::p1::claim_2
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p2,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,claim_0,No Sino-Soviet bloc country intends to initiate hostilities against the United States or its possessions in the immediate future.,Watch Committee,Sino-Soviet bloc,neutral,0.7,2000168_CIA-RDP79T00975A005500040001-6::p2::claim_0
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p2,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,claim_1,The bloc probably prefers that the Laotian conflict not be expanded beyond its present scale.,"Director for Intelligence, Joint Staff",Sino-Soviet bloc,neutral,0.7,2000168_CIA-RDP79T00975A005500040001-6::p2::claim_1
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p2,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,claim_2,The conclusion that the bloc is probably prepared to increase its military commitments in Laos cannot be supported by available information.,"Director for Intelligence, Joint Staff",Sino-Soviet bloc,oppose,0.7,2000168_CIA-RDP79T00975A005500040001-6::p2::claim_2
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p3,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,claim_0,The CNU may have prompted the resignations to clear the way for broader political representation.,Unknown,CNU,neutral,0.7,2000168_CIA-RDP79T00975A005500040001-6::p3::claim_0
